location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density
Colombia,2020-08-19,502178.0,13056.0,11.379.857,15979.0,360.0,306.0,9.795.567,254.673,221.977,311.689,7.022,5.969,1.01,51265841.0,44.223
Colombia,2020-08-20,513719.0,11541.0,11.416.286,16183.0,204.0,291.143,10.020.688,225.121,222.688,315.668,3.979,5.679,0.99,51265841.0,44.223
Colombia,2020-08-21,522138.0,8419.0,11.003.857,16568.0,385.0,296.571,10184.91,164.222,214.643,323.178,7.51,5.785,0.97,51265841.0,44.223
Colombia,2020-08-22,533103.0,10965.0,10.916.286,16968.0,400.0,308.286,10.398.796,213.885,212.935,330.981,7.802,6.013,0.96,51265841.0,44.223
Colombia,2020-08-23,541139.0,8036.0,10401.0,17316.0,348.0,317.0,10.555.547,156.752,202.884,337.769,6.788,6.183,0.95,51265841.0,44.223
Colombia,2020-08-24,551688.0,10549.0,10.718.286,17612.0,296.0,320.0,10.761.318,205.771,209.073,343.543,5.774,6.242,0.95,51265841.0,44.223
Colombia,2020-08-25,562113.0,10425.0,10.427.286,17889.0,277.0,324.286,10.964.669,203.352,203.396,348.946,5.403,6.326,0.94,51265841.0,44.223
Colombia,2020-08-26,572243.0,10130.0,10.009.286,18184.0,295.0,315.0,11.162.267,197.597,195.243,354.7,5.754,6.144,0.92,51265841.0,44.223
Colombia,2020-08-27,581995.0,9752.0,9.753.714,18467.0,283.0,326.286,11.352.491,190.224,190.258,360.22,5.52,6.365,0.91,51265841.0,44.223
Colombia,2020-08-28,590492.0,8497.0,9.764.857,18766.0,299.0,314.0,11.518.235,165.744,190.475,366.053,5.832,6.125,0.91,51265841.0,44.223
Colombia,2020-08-29,599884.0,9392.0,9.540.143,19063.0,297.0,299.286,11.701.437,183.202,186.092,371.846,5.793,5.838,0.9,51265841.0,44.223
Colombia,2020-08-30,607904.0,8020.0,9.537.857,19363.0,300.0,292.429,11.857.876,156.439,186.047,377.698,5.852,5.704,0.9,51265841.0,44.223
Colombia,2020-08-31,615094.0,7190.0,9058.0,19662.0,299.0,292.857,11.998.126,140.249,176.687,383.53,5.832,5.713,0.9,51265841.0,44.223
Colombia,2020-09-01,624026.0,8932.0,8.844.714,20050.0,388.0,308.714,12.172.355,174.229,172.526,391.099,7.568,6.022,0.9,51265841.0,44.223
Colombia,2020-09-02,633321.0,9295.0,8.725.429,20345.0,295.0,308.714,12.353.664,181.31,170.2,396.853,5.754,6.022,0.9,51265841.0,44.223
Colombia,2020-09-03,641574.0,8253.0,8.511.286,20618.0,273.0,307.286,12.514.649,160.984,166.023,402.178,5.325,5.994,0.89,51265841.0,44.223
Colombia,2020-09-04,650063.0,8489.0,8.510.143,20888.0,270.0,303.143,12.680.237,165.588,166.0,407.445,5.267,5.913,0.89,51265841.0,44.223
Colombia,2020-09-05,658456.0,8393.0,8.367.429,21156.0,268.0,299.0,12.843.952,163.715,163.216,412.672,5.228,5.832,0.89,51265841.0,44.223
Colombia,2020-09-06,666521.0,8065.0,8.373.857,21412.0,256.0,292.714,13.001.269,157.317,163.342,417.666,4.994,5.71,0.89,51265841.0,44.223
Colombia,2020-09-07,671848.0,5327.0,8.107.714,21615.0,203.0,279.0,13.105.179,103.909,158.15,421.626,3.96,5.442,0.88,51265841.0,44.223
Colombia,2020-09-08,679513.0,7665.0,7.926.714,21817.0,202.0,252.429,13.254.693,149.515,154.62,425.566,3.94,4.924,0.88,51265841.0,44.223
Colombia,2020-09-09,686851.0,7338.0,7.647.143,22053.0,236.0,244.0,13397.83,143.136,149.166,430.169,4.603,4.76,0.88,51265841.0,44.223
