iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
COL;South America;Colombia;2021-07-30;4776291.0;9462.0;10079.571;120432.0;306.0;320.571;93167.125;184.567;196.614;2349.167;5.969;6.253;0.71;;;;;;;;;22394557.0;75506.0;436.832;1.473;70596.0;1.377;0.166;6.0;tests performed;;;;;;313349.0;;;;;6112.0;219922.0;0.429;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-07-31;4785320.0;9029.0;9788.857;120723.0;291.0;312.143;93343.246;176.121;190.943;2354.843;5.676;6.089;0.7;;;;;;;;;22479769.0;85212.0;438.494;1.662;73031.0;1.425;0.159;6.3;tests performed;27524377.0;17801838.0;12179103.0;;;347815.0;53.69;34.72;23.76;;6785.0;248530.0;0.485;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-01;4794414.0;9094.0;9509.714;120998.0;275.0;304.286;93520.635;177.389;185.498;2360.207;5.364;5.935;0.7;;;;;;;;;22555987.0;76218.0;439.981;1.487;72876.0;1.422;0.155;6.5;tests performed;27751197.0;17962012.0;12252821.0;;226820.0;342609.0;54.13;35.04;23.9;;6683.0;245077.0;0.478;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;151522.9;38.22;49.46;2955.630826
COL;South America;Colombia;2021-08-02;4801050.0;6636.0;9243.0;121216.0;218.0;290.571;93650.078;129.443;180.295;2364.459;4.252;5.668;0.69;;;;;;;;;22589809.0;33822.0;440.641;0.66;72218.0;1.409;0.151;6.6;tests performed;28152320.0;18256040.0;12377173.0;;401123.0;358748.0;54.91;35.61;24.14;;6998.0;257240.0;0.502;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-03;4807979.0;6929.0;8600.571;121216.0;0.0;247.714;93785.236;135.158;167.764;2364.459;0.0;4.832;0.68;;;;;;;;;22650682.0;60873.0;441.828;1.187;69464.0;1.355;0.145;6.9;tests performed;28608522.0;18567543.0;12542092.0;;456202.0;384946.0;55.8;36.22;24.46;;7509.0;277505.0;0.541;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-04;4815063.0;7084.0;8274.857;121695.0;479.0;270.571;93923.418;138.182;161.411;2373.803;9.343;5.278;0.67;;;;;;;;;22715694.0;65012.0;443.096;1.268;69443.0;1.355;0.14;7.1;tests performed;29013935.0;18830027.0;12700513.0;;405413.0;403889.0;56.6;36.73;24.77;;7878.0;290768.0;0.567;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-05;4821603.0;6540.0;7824.857;121899.0;204.0;253.286;94050.988;127.57;152.633;2377.782;3.979;4.941;0.67;;;;;;;;;22783450.0;67756.0;444.418;1.322;66343.0;1.294;0.135;7.4;tests performed;29416582.0;19092805.0;12854659.0;;402647.0;414465.0;57.38;37.24;25.07;;8085.0;294310.0;0.574;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-06;4828583.0;6980.0;7470.286;122087.0;188.0;236.429;94187.141;136.153;145.717;2381.449;3.667;4.612;0.66;;;;;;;;;22861990.0;78540.0;445.95;1.532;66776.0;1.303;0.129;7.8;tests performed;;;;;;401535.0;;;;;7832.0;278073.0;0.542;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-07;4834634.0;6051.0;7044.857;122277.0;190.0;222.0;94305.173;118.032;137.418;2385.155;3.706;4.33;0.65;;;;;;;;;22916857.0;54867.0;447.02;1.07;62441.0;1.218;0.123;8.1;tests performed;30244618.0;19634688.0;13182770.0;;;388606.0;59.0;38.3;25.71;;7580.0;261836.0;0.511;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2021-08-08;4838984.0;4350.0;6367.143;122458.0;181.0;208.571;94390.025;84.852;124.199;2388.686;3.531;4.068;0.64;;;;;;;;;22972878.0;56021.0;448.113;1.093;59556.0;1.162;0.117;8.5;tests performed;30379000.0;19734349.0;13220870.0;;134382.0;375400.0;59.26;38.49;25.79;;7323.0;253191.0;0.494;46.3;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;153088.0;38.15;32.63;2986.159927
